Title|Author|Words|Type|Complete|Setting|Elsa|Anna|Powers|Sisters|Rated|Smut|Added|Published|Detail|AO3|FF|Other
-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
A Broken Mirror World|Solosam|12|Multi-Chapter|Yes|AU|Adult|Adult|Yes|Yes|T|None|15/01/15|27/11/13|Anna and Elsa move to England to start a new life together. Things go badly when Anna struggles with her sexual identity and Elsa's insecurities return. The appearance of an unexpected enemy just drives things from bad to worse. (Sequel to 'A Perfect Diamond World.'||https://www.fanfiction.net/s/10463107/1/A-Broken-Mirror-World|
A Case of Selective Obliviousness|Garlic|14|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|T|None|28/10/14|14/04/14|All of Arendelle is eagerly awaiting the royal wedding, except, apparently, the two actually being married. Wait, what? Elsa and Anna are completely blindsided by some very unusual expectations and their own feelings.||https://www.fanfiction.net/s/10269622/1/A-Case-Of-Selective-Obliviousness|
A Dark Knight's Queen|RoastedWolf|2|Multi-Chapter|Yes|STP|Dark Queen|Warrior Princess|Yes|Yes|M|Pure|18/01/15|27/11/13|Dark!Elsanna AU inspired by patronuship's head cannon and amazing art. It's pointless smut. All of it. Heh...||https://www.fanfiction.net/s/10200487/1/A-Dark-Knight-s-Queen|
A Date With the Drum Major|Arendelle's Drum Major|55|Multi-Chapter|No|mAU|Arendelle College Drum Major|Arendelle College Freshman|No|No|M|None|30/10/14|24/01/14|||https://www.fanfiction.net/s/10047854/12/A-Date-With-the-Drum-Major|
A Formal Arrangement|Requ|148|Multi-Chapter|No|AU|Queen|Princess|Yes|No|M|None|26/10/14|15/01/14|An AU so slight it is almost canon. Anna and Elsa grew up playing together, despite being princesses from different kingdoms. They are to be married as a result of a betrothal arranged years earlier, before the death of Arendelle's king and queen. This story neatly side-steps the social acceptability, and morality issues that tend to bog down so many Elsanna fics. Instead it is free to focus on the two girls, their desires and insecurities, and what a relationship between them really means.|http://archiveofourown.org/works/1136739|https://www.fanfiction.net/s/10023938/1/A-Formal-Arrangement|
A Gust of Wind|ms-archer17|10|Multi-Chapter|Yes|mAU|College Graduate|College Student|No|No|T|None|24/01/15|09/02/14|||https://www.fanfiction.net/s/10097694/1/A-Gust-of-Wind|
A Perfect Diamond World|Solosam|18|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Plot Focused|15/01/15|27/11/13|Tycho has pledged his life to protect the royal sisters, and before long he finds himself falling in love with his queen, even though her heart is already taken. A dangerous mission to the north, pirates, pagan gods and the deep secrets at the heart of the world will test his resolve and his loyalty. This fic manages to cram a ton of plot and character development into it's tiny 18k words. It's light on the Elsanna, being told from an outside perspective, but there's so much else going on that you wont notice the lack of fluff.||https://www.fanfiction.net/s/10406732/1/A-Perfect-Diamond-World|
A Rainy Night of Realization|piccolodian|26|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|M|None|15/01/15|27/11/13|Elsa is worried that her 'act of true love' may raise some questions as to what sort of love she really feels for her sister. Anna, on the other hand, is still trying to figure out what being in love is actually like. Elsanna. Prequel to A Rainy Night of Miracle||https://www.fanfiction.net/s/10329082/1/A-Rainy-Night-of-Realization|
A Snowflake in Spring|Celery Sticks|114|Multi-Chapter|No|mAU|Mental Patient|High School Student|No|No|M|None|31/10/14|02/02/14|||https://www.fanfiction.net/s/10074149/1/A-Snowflake-in-Spring|
